wages,age,educ,training1,training2,Gender
32.25,22,15,6,6.3,1
23.19,27,14,1,0.7,1
33.94,28,10,5,5.4,0
29.61,22,13,6,6.1,0
33.27,30,13,4,4,0
31.28,28,12,3,3,0
36.02,32,18,6,5.9,1
29.87,33,15,4,4.1,0
36.79,28,15,8,7.8,0
35.48,30,16,3,3.2,0
28.42,27,16,4,4.2,1
24.31,28,13,4,3.9,1
45.52,28,17,5,5.2,1
26.32,30,14,4,3.9,0
37.87,33,16,5,5.4,1
28.26,25,11,3,2.8,0
29.16,29,15,3,3.4,0
33.97,29,16,3,3.1,1
27.58,22,10,5,5.3,0
26.13,27,12,6,5.9,1
27.46,25,16,4,4.3,1
29.73,31,14,5,4.6,0
29.02,26,14,6,6.2,0
34.56,30,15,3,3.1,0
39.09,30,19,6,6,0
21.05,22,14,1,0.9,1
32.3,23,15,4,4.2,1
36.26,24,16,8,7.8,1
37.81,29,14,5,4.9,1
25.55,29,17,2,2.3,0
31.52,23,13,5,5.2,0
18.82,22,11,1,1.1,1
36.15,27,13,7,7.1,0
34.83,31,15,6,6.6,1
31.48,26,15,6,6.1,1
27.42,28,16,5,5,0
35.11,25,17,2,2.1,1
22.94,32,16,3,3.1,1
26.96,25,14,6,5.8,0
36.95,24,14,5,5,0
40.98,29,17,3,2.6,0
24.31,19,13,5,5,1
28.72,22,12,6,6,1
22.88,24,15,2,2.3,1
29.5,27,14,6,6.2,1
24.72,32,14,4,3.8,1
27.56,26,18,6,5.8,1
30.35,30,15,3,2.8,1
35.2,33,13,6,6.2,0
30.49,33,16,2,1.8,0
32.48,27,14,5,4.7,0
33.57,29,15,6,5.8,0
34.75,29,16,4,3.8,1
40.22,30,15,5,5,0
38.65,31,16,5,4.8,0
35.07,29,17,4,3.7,1
28.3,27,15,4,3.9,1
12.85,23,12,1,0.8,1
28.26,22,10,6,5.7,0
24.69,32,17,1,0.7,1
25.55,29,13,6,5.7,1
24.19,29,16,3,3.2,1
34.5,25,16,5,5.1,0
22.78,21,12,3,3.1,1
34.67,26,16,4,4,1
25.88,28,11,4,3.8,0
38.64,28,15,5,4.9,1
28.8,31,17,5,5.1,0
31.46,28,15,4,4.1,1
29.26,27,18,4,3.9,1
28.18,30,16,7,7.2,0
23.37,29,12,4,4.1,1
35.51,23,12,7,7,1
34.21,31,14,6,6.2,1
18.51,29,12,5,5.1,1
20.37,29,12,2,2.2,0
31.63,29,15,3,2.8,1
35.93,27,15,3,2.9,1
31.18,27,15,4,3.6,0
29.99,24,12,2,2.1,1
30.83,30,15,3,3.1,1
