wages,age,educ,training1,training2,Gender
34.16,30,12,6,6.1,0
23.48,21,14,3,3.3,1
36.56,32,17,3,3.3,1
28.23,29,13,3,3.1,0
36,26,16,6,6.2,0
27.03,33,14,6,5.6,0
30.33,29,18,5,5,1
37.67,30,18,6,6,0
26.61,23,12,5,5,1
30.19,24,12,2,2.3,1
33.55,25,16,5,4.6,0
37.39,27,17,6,5.9,1
29.61,34,17,5,5.2,0
36.03,28,17,5,5,0
36.9,33,17,3,3.2,1
34.8,24,17,4,4.3,0
25.6,28,14,6,6.1,0
26.36,33,15,2,2.3,0
23.91,28,12,5,5.1,0
32.72,33,16,5,4.8,1
40.91,33,16,5,5.2,0
23.67,28,11,5,5,0
24.02,28,15,2,2,0
34.92,29,13,8,8,0
27.7,24,11,5,5.1,0
32.11,22,12,7,6.9,1
36.45,28,15,2,1.8,0
30.18,27,13,6,5.9,0
31.18,28,13,5,5.1,1
20.24,26,12,5,4.9,0
34.41,30,16,4,4.1,0
23.38,26,13,4,4.4,1
38.85,29,19,6,6.2,1
38.05,33,15,6,5.8,0
28.99,26,13,6,6,1
21.49,30,15,2,2.1,0
32.46,25,12,7,7.2,1
45.81,29,13,6,5.9,0
32.11,28,12,4,3.6,1
24.76,30,14,3,3.2,1
23.72,28,15,1,0.8,1
26.17,30,15,4,4,1
30.85,31,13,3,2.8,0
28.71,22,13,6,6,1
20.29,22,12,4,3.9,0
41.23,32,14,7,6.8,0
37.92,25,13,4,4.2,1
25.37,28,14,7,6.8,0
34.02,26,12,7,7,0
26.57,26,14,5,4.6,1
31.81,25,18,5,4.8,1
29.88,30,15,5,4.8,1
23.66,27,14,6,6.2,1
40.57,35,16,5,4.9,1
34.46,27,16,3,3,0
36.69,32,16,5,4.8,1
36.58,26,15,2,2.2,0
29.93,23,16,3,3,1
41.66,32,15,5,5.3,1
34.05,32,17,6,5.6,0
31.67,23,18,6,6.4,1
43.33,35,18,5,4.9,0
33.59,27,13,5,4.9,0
27.77,26,16,4,4.2,1
30.35,25,10,4,4.1,0
44.64,28,15,7,7,0
36.42,29,14,7,6.9,1
31.28,25,15,2,2.1,0
32.56,31,18,3,2.8,1
23.18,32,12,6,6,0
27.18,26,14,5,4.9,1
39.75,27,16,7,7,0
18.72,24,14,1,0.9,0
35.89,27,14,5,5.4,0
27.96,23,11,4,4.1,0
34.64,23,13,2,2.1,0
35.11,28,19,5,4.8,0
31.67,26,15,5,4.8,1
43.18,37,17,5,4.9,1
39.11,22,14,6,5.9,0
30.11,22,13,5,5,0
31.65,31,13,3,3.4,1
43.38,26,17,6,5.7,1
30.88,27,18,7,7.1,1
32.06,26,15,3,2.8,0
35.9,31,14,6,6.1,0
33.19,24,15,7,7.3,1
36.92,28,19,5,5.4,1
34.62,20,13,6,6.5,0
33.56,27,13,6,6.1,0
28.36,26,11,5,5,0
40.46,29,17,5,5.1,1
30.22,27,12,3,2.7,0
28.53,28,14,4,3.8,1
33.56,28,17,5,5,1
30.57,25,12,5,5,1
26.19,29,15,3,3,0
38.52,26,16,7,7.3,0
30.87,30,16,4,4.1,0
28.83,26,15,6,5.9,1
34.13,29,16,4,4.4,0
34.42,32,17,7,6.7,1
36.68,25,14,7,7.3,0
30.61,24,14,4,3.7,1
34.55,26,15,5,5.2,0
26.27,23,15,4,3.9,0
26.04,23,15,3,3,1
28.12,27,16,2,2.2,1
22.56,26,12,3,3.1,0
30.12,36,19,4,3.7,0
